active,comment,id,group_ids
TRUE,,sd.BAR_accountview_account_period_tree_accountaction_account_period_close,"Fin_Config_Full,Fin_Config_HQ,Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_accountview_bank_statement_tree_button_confirm_bank,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_accountview_bank_statement_form2_button_open,"Fin_Cash_Registers,Fin_Cash_Responsible_Access"
TRUE,,sd.BAR_accountinvoice_supplier_form_invoice_cancel,"Fin_Supplier_Invoices,Fin_Invoicing_Advanced"
TRUE,,sd.BAR_accountinvoice_form_invoice_cancel,"Fin_Supplier_Invoices,Fin_Invoicing_Advanced"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_confirm_closing_bank_balance,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_wiz_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_open_bank,"Fin_Bnk_Chk_Registers,Fin_Bnk_Chk_Responsible_Access"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_confirm_bank,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_wiz_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_confirm_closing_balance,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_open_cash,"Fin_Cash_Registers,Fin_Cash_Responsible_Access"
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_confirm_cash,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_accountview_bank_statement_tree_button_open_bank,"Fin_Bnk_Chk_Registers,Fin_Bnk_Chk_Responsible_Access"
TRUE,,sd.BAR_register_accountingview_cash_statement_tree_button_confirm_cash,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountingview_cheque_register_form_button_wiz_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountingview_cheque_register_form_button_confirm_cheque,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountingview_cheque_register_tree_button_confirm_cheque,"Fin_Config_Coordo,Fin_Config_Project,Fin_Advanced_Accounting"
TRUE,,sd.BAR_register_accountingwizard_hard_posting_form1_action_confirm_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form_button_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginherit_view_bank_statement_form2_button_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountingview_cheque_register_form_button_hard_posting,Fin_Hard_Posting
TRUE,,sd.BAR_register_accountinginvoice_supplier_form_2_invoice_open,Fin_Supplier_Invoices_Validation
TRUE,,sd.BAR_register_accountinginvoice_tree_2_invoice_open,Fin_Supplier_Invoices_Validation
TRUE,,sd.BAR_account_subscriptionaccount_move_line_recurring_entries_to_validate_button_do_accounting_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_correctionsinherit_view_move_line_tree_button_do_accounting_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_mcdbaccount_move_line_mcdb_search_result_button_do_accounting_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_mcdbaccount_analytic_line_mcdb_search_result_button_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_mcdbaccount_analytic_line_default_button_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_mcdbview_move_line_tree_from_move_button_do_accounting_corrections,Fin_Accounting_Entries_Act
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_close_field,"Fin_Config_Coordo,Fin_Config_Full,Fin_Config_Project"
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_close_hq,Fin_Config_Full
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_reopen_field,"Fin_Config_Full,Fin_Config_Coordo"
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_tree_action_reopen_field,"Fin_Config_Full,Fin_Config_Coordo"
TRUE,,sd.BAR_msf_budgetmsf_budget_view_form_validate,"Fin_Config_Project,Fin_Config_Coordo"
TRUE,,sd.BAR_msf_budgetmsf_budget_view_form_done,"Fin_Config_Project,Fin_Config_Coordo"
TRUE,,sd.BAR_accountview_account_invoice_refund_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_accountinvoice_supplier_form_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_accountinvoice_form_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideview_debit_note_form_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideinherit_invoice_form_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_register_accountingview_direct_invoice_refund_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_register_accountinginvoice_supplier_form_2_accountaction_account_invoice_refund,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_close_field_reopen,Fin_Config_Full
TRUE,,sd.BAR_msf_budgetmsf_budget_view_tree_unlink,Fin_Budget
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_form_action_close_mission,"Fin_Config_Full,Fin_Config_Coordo,Fin_Config_HQ"
TRUE,,sd.BAR_account_period_closing_levelview_account_fiscalyear_level_form_btn_hq_close,"Fin_Config_Full,Fin_Config_Coordo,Fin_Config_HQ"
TRUE,,sd.BAR_msf_accrualview_msf_accrual_line_form_button_cancel,Fin_Config_Coordo
TRUE,,sd.BAR_msf_accrualview_msf_accrual_line_tree_button_duplicate,Fin_Config_Coordo
TRUE,,sd.BAR_msf_accrualview_msf_accrual_line_tree_button_analytic_distribution,Fin_Config_Coordo
TRUE,,sd.BAR_msf_accrualview_msf_accrual_line_tree_button_delete,Fin_Config_Coordo
TRUE,,sd.BAR_account_overrideinvoice_supplier_form_3_button_split_invoice,"Fin_Invoicing_Advanced,Fin_Supplier_Invoices"
TRUE,,sd.BAR_account_overrideinvoice_supplier_form_3_button_merge_lines,"Fin_Invoicing_Advanced,Fin_Supplier_Invoices"
TRUE,,sd.BAR_analytic_distributioninvoice_supplier_form_2_button_reset_distribution,"Fin_Invoicing_Advanced,Fin_Supplier_Invoices"
TRUE,,sd.BAR_accountinvoice_supplier_form_accountaction_account_change_currency,"Fin_Invoicing_Advanced,Fin_Supplier_Invoices"
TRUE,,sd.BAR_analytic_distributioninvoice_supplier_form_2_button_analytic_distribution,"Fin_Invoicing_Advanced,Fin_Supplier_Invoices"
TRUE,,sd.BAR_accountinvoice_supplier_form_button_reset_taxes,"Fin_Invoicing_Advanced,Fin_Supplier_Invoices"
TRUE,,sd.BAR_analytic_distributionaccount_commitment_tree_commitment_open,Fin_Budget
TRUE,,sd.BAR_account_period_closing_levelview_account_period_closing_level_tree_action_open_period,"Fin_Config_Full,Fin_Config_HQ,Fin_Config_Coordo,Fin_Config_Project"
TRUE,,sd.BAR_account_period_closing_levelview_account_create_period_account_period_create_periods,Fin_Config_Full
TRUE,,sd.BAR_account_overrideview_intermission_form_button_analytic_distribution,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideview_intermission_form_button_reset_distribution,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideview_intermission_form_invoice_open,Fin_Invoicing_Advanced
TRUE,,sd.BAR_accountinvoice_supplier_form_invoice_open,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideview_inkind_donation_form_button_analytic_distribution,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideview_inkind_donation_form_button_reset_distribution,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideview_inkind_donation_form_invoice_open,Fin_Invoicing_Advanced
TRUE,,sd.BAR_analytic_distributionview_invoice_line_tree_2_button_analytic_distribution,Fin_Invoicing_Advanced
TRUE,,sd.BAR_analytic_distributioninvoice_form_2_button_reset_distribution,Fin_Invoicing_Advanced
TRUE,,sd.BAR_accountinvoice_form_invoice_open,Fin_Invoicing_Advanced
TRUE,,sd.BAR_analytic_distributioninvoice_form_2_button_analytic_distribution,Fin_Invoicing_Advanced
TRUE,,sd.BAR_account_overrideview_debit_note_form_invoice_open,Fin_Invoicing_Advanced
