"Code";"Name";"Parent/Code";"Internal Type";"Account Type/Code";"Type for Third Parties";"Reconcile";"Accrual Account";"Expatriates";"National Staff";"Operations";"Support";"Not HQ correctible"
"MSF";"MSF Chart of Accounts";;"View";"view";"None";"False";"False";;;;;"False"
"1";"Current Assets";"MSF";"View";"cash";"None";"False";"False";;;;;"False"
"10";"Cash and cash equivalents";"1";"View";"cash";"None";"False";"False";;;;;"False"
"101";"Cash on hand";"10";"View";"cash";"None";"False";"False";;;;;"False"
"1010";"Cash on hand";"101";"Liquidity";"cash";"None";"False";"False";;;;;"False"
"102";"Cash at Bank";"10";"View";"cash";"None";"False";"False";;;;;"False"
"1020";"Cash at Bank";"102";"Liquidity";"cash";"None";"False";"False";;;;;"False"
"103";"Short term deposits";"10";"View";"asset";"None";"False";"False";;;;;"False"
"1030";"Short term deposits";"103";"Regular";"asset";"None";"True";"False";;;;;"False"
"11";"Financial assets";"1";"View";"asset";"None";"False";"False";;;;;"False"
"110";"Guarantee and  Deposits";"11";"View";"asset";"None";"False";"False";;;;;"False"
"1100";"Guarantee and  Deposits";"110";"Regular";"asset";"None";"False";"False";;;;;"False"
"12";"Accounts receivable";"1";"View";"receivables";"None";"False";"False";;;;;"False"
"120";"Receivables";"12";"View";"receivables";"None";"False";"False";;;;;"False"
"1200";"Receivable from other missions";"120";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"1201";"Receivable from other sections";"120";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"1202";"VAT recoverable";"120";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"1203";"Taxes receivables";"120";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"1204";"Social security receivable";"120";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"1205";"Other receivables";"120";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"13";"Advances and Prepayment";"1";"View";"receivables";"None";"False";"False";;;;;"False"
"130";"Internal advances";"13";"View";"receivables";"None";"False";"False";;;;;"False"
"1300";"Operating advances";"130";"Receivable";"receivables";"Cash Advance";"True";"False";;;;;"False"
"1301";"Security enveloppes  ";"130";"Receivable";"receivables";"Cash Advance";"True";"False";;;;;"False"
"1302";"Advances to suppliers";"130";"Receivable";"receivables";"Down payment";"True";"False";;;;;"False"
"4203";"Advance with suppliers and various";"130";"Receivable";"receivables";"Third party required - Payroll";"True";"False";;;;;"False"
"131";"Advances done to third parties";"13";"View";"receivables";"None";"False";"False";;;;;"False"
"1310";"Advances done to third parties";"131";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"132";"Advances to personal";"13";"View";"receivables";"None";"False";"False";;;;;"False"
"1320";"Advances on salaries of expatriates";"132";"Receivable";"receivables";"None";"True";"False";;;;;"False"
